name,category,address,phone,website,rating,reviews,location,scraped_at
Glimmr House and Office Cleaning,House cleaning service,"108 Westbourne Terrace, London W2 6QJ, United Kingdom",+44 20 8158 8505,https://www.glimmr.co.uk/,4.4,78,"London, UK",2026-04-01 15:39
SUPER CLEANERS LONDON,House cleaning service,"136, New King’s House, 144 New Kings Rd, London SW6 4LZ, United Kingdom",+44 20 3664 9304,http://www.supercleanerslondon.co.uk/,4.8,88,"London, UK",2026-04-01 15:39
Top Cleaning GB - Cheap End of Tenancy Cleaning,House cleaning service,"31 Beaufort Gardens, London SW3 1QH, United Kingdom",+44 20 8813 2556,https://www.topcleaninggb.co.uk/,4.9,243,"London, UK",2026-04-01 15:39
Soluxe Cleaning Services,House cleaning service,"124 City Rd, London EC1V 2NX, United Kingdom",+44 20 7846 0024,https://soluxecleaning.co.uk/,4.8,281,"London, UK",2026-04-01 15:39
Cleaning Express,Cleaners,"44, Beaufort Court, Admirals Way, London E14 9XL, United Kingdom",+44 20 3633 0390,https://cleaning-express.com/?utm_source=GMBListingE14&utm_medium=organic,4.7,461,"London, UK",2026-04-01 15:39
West Clean,House cleaning service,"71-75 Shelton St, London WC2H 9JQ, United Kingdom",+44 20 8993 6864,http://westclean.uk/,4.5,187,"London, UK",2026-04-01 15:39
CMH Cleaning Services,House cleaning service,N/A,+44 7523 747363,https://www.cmhcleaning.co.uk/,4.8,611,"London, UK",2026-04-01 15:40
Maid In Chelsea Specialised Cleaning Services,House cleaning service,"27 Parsons Grn, London SW6 4HH, United Kingdom",+44 7938 884101,http://maidinchelseacleaning.com/,4.8,169,"London, UK",2026-04-01 15:40
Good Old Clean | End of tenancy cleaning,House cleaning service,"96 Hornsey Rd, London N7 7NJ, United Kingdom",+44 20 3576 1099,https://www.goodoldclean.co.uk/,4.9,197,"London, UK",2026-04-01 15:40
AJ Cleaning London,House cleaning service,"128 City Rd, London EC1V 2NX, United Kingdom",+44 20 7123 4510,https://ajcleaninglondon.co.uk/,4.9,28,"London, UK",2026-04-01 15:40
Brilliant Cleaner Chelsea,House cleaning service,"70 Claverton St, Pimlico, London SW1V 3AX, United Kingdom",+44 800 061 4189,http://www.brilliant-cleaner.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16139394412976107676,4.9,128,"London, UK",2026-04-01 15:40
Domestic Cleaning Express,House cleaning service,"18, 36 Wellington St, London SE18 6PF, United Kingdom",+44 20 3633 0390,https://cleaning-express.com/domestic-cleaning/?utm_source=GMBListingSE18&utm_medium=organic,5.0,222,"London, UK",2026-04-01 15:40
HRS Cleaning London (Same Day Cleaning in Central London),Cleaners,"128 City Rd, London EC1V 2NX, United Kingdom",+44 20 7183 0887,http://www.hrscleaning.co.uk/,5.0,59,"London, UK",2026-04-01 15:40
Anyclean,House cleaning service,"124 City Rd, London EC1V 2NX, United Kingdom",+44 20 7099 6964,https://www.anyclean.co.uk/,4.7,356,"London, UK",2026-04-01 15:40
City Housekeeping,House cleaning service,"167, Fifth Floor, 169 Great Portland St, London W1W 5PF, United Kingdom",+44 20 3980 8066,https://cityhousekeeping.co.uk/?utm_source=Google+Business+Profile&utm_medium=Website+Button&utm_campaign=GBP,4.9,200,"London, UK",2026-04-01 15:40
Perfect Cleaning,Cleaners,"7 Bell Yard, London WC2A 2JR, United Kingdom",+44 20 3051 9081,http://www.perfectcleaning.co.uk/,4.5,336,"London, UK",2026-04-01 15:40
Better Call Moe,House cleaning service,"54 Brook's Mews, London W1K 4EF, United Kingdom",+44 20 3355 2963,https://www.bettercallmoe.com/?utm_source=GMB&utm_medium=Clicks&utm_campaign=HQ+GBL,4.9,192,"London, UK",2026-04-01 15:41
Dazzle: Commercial & Office Cleaning | London,Cleaners,"floor, 32, Studio 10 (Second, 38 Scrutton St, London EC2A 4RQ, United Kingdom",+44 20 3551 9997,https://dazzle.london/commercial-cleaning-in-london/,4.8,101,"London, UK",2026-04-01 15:41
END OF TENANCY OFFICE AND DOMESTIC CLEANING SERVICES,House cleaning service,"74 Pagnell St, London SE14 6DT, United Kingdom",+44 7425 755513,https://mdcleaningservice.co.uk/,4.8,69,"London, UK",2026-04-01 15:41
Cleaners of London,House cleaning service,N/A,+44 20 3026 0203,https://www.cleanersoflondon.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.0,236,"London, UK",2026-04-01 15:41
Neat Services group - End of tenancy cleaning,House cleaning service,"32 Draycott Cl, London NW2 1UN, United Kingdom",+44 7455 250450,https://neatservicesgroup.co.uk/,4.7,127,"London, UK",2026-04-01 15:41
Fantastic Cleaners,Cleaners,N/A,+44 20 7846 2544,https://fantasticcleaners.com/?ot=1&utm_source=google&utm_medium=organic&utm_campaign=gmb-website,4.3,5109,"London, UK",2026-04-01 15:41
Busy Bee End of Tenancy Cleaning Services Ltd,House cleaning service,"flat 76, altitude point, Harringay Ladder, London N8 0EJ, United Kingdom",+44 7308 992013,https://www.busybee-endoftenancycleaning.co.uk/,4.8,192,"London, UK",2026-04-01 15:41
HAPPY SERVICES LONDON,House cleaning service,"661-663 High Rd, Buckhurst Hill IG9 5HW, United Kingdom",+44 20 8708 0005,https://www.happyserviceslondon.co.uk/en/,4.9,147,"London, UK",2026-04-01 15:41
Bloom Eco Cleaning,House cleaning service,"71-75 Shelton St, London WC2H 9JQ, United Kingdom",+44 20 3633 0313,https://www.bloomecocleaning.co.uk/,4.9,75,"London, UK",2026-04-01 15:41
Scrubs Cleaning,House cleaning service,"30 Delaware Rd, London W9 2LH, United Kingdom",+44 20 8146 8571,https://www.scrubscleaning.co.uk/?utm_campaign=gmb,4.9,366,"London, UK",2026-04-01 15:42
Homeclean Central,House cleaning service,"124 City Rd, London EC1V 2NX, United Kingdom",+44 20 7383 4958,http://www.homeclean.co.uk/,4.2,168,"London, UK",2026-04-01 15:42
M & A Cleaning Services,House cleaning service,"First Floor, Southgate Office Village, Block B, 284a Chase Rd, London N14 6HF, United Kingdom",+44 20 8803 4690,http://mnacleanerslondon.co.uk/,4.8,301,"London, UK",2026-04-01 15:42
Mondo Cleaning,Cleaners,"Suite 206, Britannia House, 11 Glenthorne Rd, London W6 0LH, United Kingdom",+44 7543 648576,http://mondoclean.co.uk/,4.9,145,"London, UK",2026-04-01 15:42
Specialised Cleaning Services London,Cleaners,"8 Portgate Cl, Maida Hill, London W9 3DL, United Kingdom",+44 7879 060106,http://www.specialisedcleaningservices.com/,5.0,44,"London, UK",2026-04-01 15:42
