name,category,address,phone,website,rating,reviews,location,scraped_at
Cleany NYC Cleaning Service,House cleaning service,"167 Madison Ave Suite 202, New York, NY 10016",(212) 851-6134,http://www.bookcleany.com/,4.9,498,"New York, NY",2026-04-01 18:30
eMaids Cleaning Service of NYC,House cleaning service,"244 5th Ave # K262, New York, NY 10001",(646) 453-4332,https://emaidsinc.com/new-york-city/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp,4.8,456,"New York, NY",2026-04-01 18:30
Sparkly Maid NYC Cleaning Services,House cleaning service,"447 Broadway 2nd floor #523, New York, NY 10013",(646) 585-3515,https://www.sparklymaidnyc.com/,4.9,439,"New York, NY",2026-04-01 18:30
Luxury Cleaning,House cleaning service,"529 E 5th St, New York, NY 10009",(212) 537-0153,https://luxurycleaningny.com/?utm_source=Google%20My%20Business%20URL&utm_medium=GMB%20Home%20URL&utm_campaign=GMB%20Page,4.7,66,"New York, NY",2026-04-01 18:30
Maid Marines,House cleaning service,"121 W 27th St Suite 1003c, New York, NY 10001",(212) 390-1629,https://maidmarines.com/,4.6,174,"New York, NY",2026-04-01 18:31
Superb Maids NYC,House cleaning service,"276 5th Ave 704 2471, New York, NY 10001",(646) 417-8343,https://www.superbmaidsnyc.com/,5.0,176,"New York, NY",2026-04-01 18:31
MaidPro,House cleaning service,"59 E 7th St, New York, NY 10003",(347) 970-2779,https://www.maidpro.com/manhattan/?utm_source=gmb&utm_medium=organic,4.9,182,"New York, NY",2026-04-01 18:31
Haven Cleaning Services,Janitorial service,"8 E 48th St, New York, NY 10017",(646) 904-8874,https://havencleaningservice.com/,4.9,71,"New York, NY",2026-04-01 18:31
White Glove Cleaner,House cleaning service,"55 5th Ave 19th floor #216, New York, NY 10003",(212) 470-4961,https://whiteglovecleaner.com/,4.7,34,"New York, NY",2026-04-01 18:31
Impeccable Cleaning NYC,Janitorial service,"130 Jane St Apt 1F, New York, NY 10014",(347) 483-3992,https://www.impeccablecleaningnyc.com/,4.9,91,"New York, NY",2026-04-01 18:31
Village Home Cleaning,House cleaning service,"New York, NY 10012",(646) 584-3675,https://villagehomecleaning.com/,5.0,226,"New York, NY",2026-04-01 18:31
MyClean,House cleaning service,"247 W 35th St # 9r, New York, NY 10001",(855) 692-5326,https://www.myclean.com/,4.2,356,"New York, NY",2026-04-01 18:31
Manhattan Cleaning Solutions,Cleaning service,"2050 Frederick Douglass Blvd Suite #202, New York, NY 10026",(646) 919-3361,https://www.manhattancleaningsolutions.com/?y_source=1_MTA2ODg4ODU3NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,4.8,49,"New York, NY",2026-04-01 18:31
DLL Cleaning Services,House cleaning service,"4441 Broadway Suite 2B, New York, NY 10040",(866) 955-0192,https://www.dllcleaningservices.com/?utm_campaign=gmb,4.8,85,"New York, NY",2026-04-01 18:31
Wizard of Homes,House cleaning service,N/A,(646) 606-2726,https://wizardofhomes.com/,5.0,636,"New York, NY",2026-04-01 18:32
Fress | NYC Cleaning Service,House cleaning service,"244 Madison Ave, New York, NY 10016",(929) 498-5704,http://fressclean.com/,5.0,25,"New York, NY",2026-04-01 18:32
Cleanzilla Cleaning Nyc,House cleaning service,"39-08 24th St Suíte 4, Long Island City, NY 11101",(347) 972-8533,https://cleanzillacleaning.com/,5.0,577,"New York, NY",2026-04-01 18:32
Wow Clean NYC Cleaning Service,House cleaning service,"115 W 18th St, Manhattan, NY 10011",(516) 758-2898,https://wowcleannyc.com/,5.0,15,"New York, NY",2026-04-01 18:32
Maid Service NYC,House cleaning service,N/A,(212) 837-8596,http://maidservicenyc.com/,4.9,39,"New York, NY",2026-04-01 18:32
Grace Cleaning Services NYC,House cleaning service,"455 E 14th St, New York, NY 10009",(212) 470-3346,http://www.gracenewyork.com/,4.8,27,"New York, NY",2026-04-01 18:32
RevitaRUGS - Rug Cleaning and Restoration,Carpet cleaning service,"1001 6th Ave, New York, NY 10018",(201) 641-1100,http://www.revitarugs.com/,5.0,16,"New York, NY",2026-04-01 18:32
NY Brite,House cleaning service,"509 Grand St, New York, NY 10002",(646) 453-7173,https://www.nybrite.com/,4.9,53,"New York, NY",2026-04-01 18:32
Eco Cleaning,House cleaning service,N/A,(929) 470-1959,https://ecocleaning-nyc.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,421,"New York, NY",2026-04-01 18:32
Swipe N Clean of NYC,House cleaning service,"1494 1st Ave, New York, NY 10075",(917) 781-0915,https://www.swipenclean.com/,4.7,61,"New York, NY",2026-04-01 18:33
Sunlight Cleaning,House cleaning service,"353 Lexington Ave 4th floor Suite 400, New York, NY 10016",(212) 920-5966,https://sunlightcleaningny.com/,4.7,48,"New York, NY",2026-04-01 18:33
Homey,House cleaning service,"601 W 149th St Apt 48, New York, NY 10031",(929) 393-2578,https://homeylikeus.com/,4.9,53,"New York, NY",2026-04-01 18:33
New York Maids,House cleaning service,"1270 6th Ave, New York, NY 10020",(212) 239-9141,https://nymaids.com/,4.7,40,"New York, NY",2026-04-01 18:33
Couch Cleaning NYC,Upholstery cleaning service,"529 W 48th St apartment 12, New York, NY 10036",(646) 995-4227,https://abc-steamers.com/,4.9,502,"New York, NY",2026-04-01 18:33
America's Cleaning Service NYC,Janitorial service,"330 E 85th St #C, New York, NY 10028",(917) 818-4438,https://www.nycjanitorialservices.com/,5.0,15,"New York, NY",2026-04-01 18:33
New York Cleaning Wizards,House cleaning service,"10 Manhattan Ave, New York, NY 10025",(347) 321-4769,https://nycleaningwizards.com/,4.9,37,"New York, NY",2026-04-01 18:33
